Quarter,Year,Budget,Marketing_Spend,RnD_Spend,Ops_Spend,Marketing_Revenue,RnD_Revenue,Ops_Revenue
1,2022,181961041600000,109176624960000,72784416640000,814643596000000,69796170000000,69796170000000,1256331060000000
2,2022,179890929000000,107934557400000,71956371600000,747381043200000,59969879550000,59969879550000,1079457831900000
3,2022,199206198900000,119523719340000,79682479560000,785387314000000,67862171100000,67862171100000,1221519080000000
4,2022,208619103900000,125171462340000,83447641560000,1041895306400000,91374381600000,91374381600000,1644738868800000
1,2023,198409560000000,119045736000000,79363824000000,807173083000000,71902305000000,71902305000000,1294241490000000
2,2023,194570395200000,116742237120000,77828158080000,793892727200000,70642860000000,70642860000000,1271571480000000
3,2023,208442508000000,125065504800000,83376997200000,759380593600000,69598634400000,69598634400000,1252775419200000
4,2023,221385424000000,132831254400000,88554169600000,1118526456000000,93109250000000,93109250000000,1675966500000000
1,2024,224960541000000,134976324600000,89984216400000,825939942000000,70891950000000,70891950000000,1276055100000000
2,2024,239376822000000,143626093200000,95750728800000,773998062000000,69186051000000,69186051000000,1245348918000000
3,2024,222098832000000,133259299200000,88839532800000,792572019000000,73728318000000,73728318000000,1327109724000000
4,2024,243158450000000,145895070000000,97263380000000,1219047675000000,101363050000000,101363050000000,1824534900000000
1,2025,248810758000000,149286454800000,99524303200000,863019205000000,75568695000000,75568695000000,1360236510000000
