Quarter,Year,Budget,Marketing_Spend,RnD_Spend,Ops_Spend,Marketing_Revenue,RnD_Revenue,Ops_Revenue
1,2020,1584166666667,950500000000,633666666667,2860833333333,230541666667,230541666667,4150050000000
2,2020,1621757322176,973054393305,648702928870,2675313807531,221698744770,221698744770,3990577405858
3,2020,1624000000000,974400000000,649600000000,3196800000000,267840000000,267840000000,4821120000000
4,2020,1607692307692,964615384615,643076923077,2793076923077,236730769231,236730769231,4261153846154
1,2021,1640625000000,984375000000,656250000000,3132031250000,255429687500,255429687500,4597734375000
2,2021,1670634920635,1002380952381,668253968254,3098412698413,252658730159,252658730159,4547857142857
3,2021,1758333333333,1055000000000,703333333333,3742500000000,308250000000,308250000000,5548500000000
4,2021,1777310924370,1066386554622,710924369748,3910924369748,321722689076,321722689076,5791008403361
1,2022,1927272727273,1156363636364,770909090909,4227272727273,353545454545,353545454545,6363818181818
2,2022,1940639269406,1164383561644,776255707763,4230137077626,352785388128,352785388128,6350137077626
3,2022,1918018018018,1150810810811,767207207207,3808108108108,317387387387,317387387387,5712972972973
4,2022,1906250000000,1143750000000,762500000000,3774999999999,314553571429,314553571429,5662089285714
1,2023,1813559322034,1088135593220,725423728814,3392372881356,270127118644,270127118644,4862288135593
2,2023,1833333333333,1100000000000,733333333333,3240170940171,256452991453,256452991453,4616153846154
3,2023,1845510730472,1107306438283,738204292189,3677253218884,289296137339,289296137339,5207330472103
4,2023,1873913043478,1124347826087,749565217391,3791304347826,296956521739,296956521739,5345217391304
1,2024,1886462882096,1131877729258,754585152838,3991266375546,313973809782,313973809782,5651528576070
2,2024,1874458874459,1124675324675,749783549784,4095238095238,322684008658,322684008658,5808312155844
3,2024,1870689655172,1122413793103,748275862069,3956896551724,340991379310,340991379310,6137844827586
4,2024,1851489361702,1110893617021,740595744681,4025531914894,322468085106,322468085106,5804425531915
1,2025,1904761904762,1142857142857,761904761905,4415584415584,342763636364,342763636364,6169745454545
2,2025,1930434782609,1158260869565,772173913043,4113043478261,324217391304,324217391304,5835913043478
3,2025,1964912280702,1178947368421,785964912281,4614035087719,377631578947,377631578947,6797368421053
4,2025,1991189427313,1194713656388,796475770925,4308370044053,352422907489,352422907489,6343612334802
